Emoji,ASCII Code,Hex Color
🫸🏼,129784,#e4be83
🫸🏽,129784,#d1a66c
🫸🏾,129784,#bc8e54
🫸🏿,129784,#977d51
👌,128076,#f5c95f
👌🏻,128076,#f6d499
👌🏼,128076,#e9c386
👌🏽,128076,#d8ad71
👌🏾,128076,#c5985b
👌🏿,128076,#a48959
🤌,129292,#f4c561
🤌🏻,129292,#f5d297
🤌🏼,129292,#e9c285
🤌🏽,129292,#d9ad71
🤌🏾,129292,#c7995c
🤌🏿,129292,#a88a5a
🤏,129295,#f0c158
🤏🏻,129295,#f4d29b
🤏🏼,129295,#e6c086
🤏🏽,129295,#d4a96f
🤏🏾,129295,#c09258
🤏🏿,129295,#9d8256
✌️,9996,#f3c558
✌🏻,9996,#f5d295
✌🏼,9996,#e8c282
✌🏽,9996,#d8ad6d
✌🏾,9996,#c59858
✌🏿,9996,#a58956
🤞,129310,#f3c453
🤞🏻,129310,#f5d295
🤞🏼,129310,#e8c181
🤞🏽,129310,#d7ab6c
🤞🏾,129310,#c49656
🤞🏿,129310,#a38754
🫰,129776,#f0c550
🫰🏻,129776,#f4d294
🫰🏼,129776,#e7c280
🫰🏽,129776,#d6ac6b
🫰🏾,129776,#c39655
🫰🏿,129776,#a28753
🤟,129311,#f7cd63
🤟🏻,129311,#f7d598
🤟🏼,129311,#eac586
🤟🏽,129311,#dab172
🤟🏾,129311,#c89c5d
🤟🏿,129311,#a98e5b
🤘,129304,#f4c657
🤘🏻,129304,#f5d295
🤘🏼,129304,#e9c282
🤘🏽,129304,#d8ad6d
🤘🏾,129304,#c59758
🤘🏿,129304,#a58856
🤙,129305,#f6c753
🤙🏻,129305,#f6d28f
🤙🏼,129305,#eac37d
🤙🏽,129305,#dbaf6a
🤙🏾,129305,#c99b56
🤙🏿,129305,#ab8e54
👈,128072,#f7ca59
👈🏻,128072,#f7d59c
👈🏼,128072,#e9c387
👈🏽,128072,#d6ac70
👈🏾,128072,#c29459
👈🏿,128072,#9e8456
👉,128073,#f7ca5a
👉🏻,128073,#f7d59c
👉🏼,128073,#e9c387
👉🏽,128073,#d6ac70
👉🏾,128073,#c29559
👉🏿,128073,#9f8457
👆,128070,#f5c657
👆🏻,128070,#f6d39b
👆🏼,128070,#e8c286
👆🏽,128070,#d6aa6f
👆🏾,128070,#c19458
👆🏿,128070,#9e8356
🖕,128405,#f5c75a
🖕🏻,128405,#f6d59e
🖕🏼,128405,#e7c289
🖕🏽,128405,#d4aa71
🖕🏾,128405,#bf9259
🖕🏿,128405,#9b8157
👇,128071,#f6c756
👇🏻,128071,#f6d49b
👇🏼,128071,#e8c286
👇🏽,128071,#d6ab6f
👇🏾,128071,#c19458
👇🏿,128071,#9e8356
☝️,9757,#f3c250
☝🏻,9757,#f5d195
☝🏼,9757,#e8c081
☝🏽,9757,#d6aa6c
☝🏾,9757,#c39455
☝🏿,9757,#a18553
🫵,129781,#e5b236
🫵🏻,129781,#edc67a
🫵🏼,129781,#e3b96a
🫵🏽,129781,#d5a759
🫵🏾,129781,#c59547
🫵🏿,129781,#aa8945
👍,128077,#f6c752
👍🏻,128077,#f6d28d
👍🏼,128077,#ebc37c
👍🏽,128077,#dbaf69
👍🏾,128077,#cb9c56
👍🏿,128077,#ad8f54
👎,128078,#f3c14b
👎🏻,128078,#f5cf89
👎🏼,128078,#e9c078
👎🏽,128078,#daad66
👎🏾,128078,#c99a53
👎🏿,128078,#ad8c51
✊,9994,#eeba44
✊🏻,9994,#f2cb82
✊🏼,9994,#e7bd72
✊🏽,9994,#d9aa60
✊🏾,9994,#c9994e
✊🏿,9994,#ae8c4d
👊,128074,#f1bd47
👊🏻,128074,#f4cd87
👊🏼,128074,#e8be76
👊🏽,128074,#d9ab64
👊🏾,128074,#c89851
👊🏿,128074,#ac8b4f
🤛,129307,#f1bf4c
🤛🏻,129307,#f4d090
🤛🏼,129307,#e7bf7d
🤛🏽,129307,#d7aa69
🤛🏾,129307,#c49554
🤛🏿,129307,#a48651
